# STAR             = Aldebaran
# RA(ICRS, deg)    = 68.980163
# Dec(ICRS, deg)   = 16.509302
# pmRA  (mas/yr)   = 63.4500
# pmDec (mas/yr)   = -188.940
# parallax (mas)   = 48.9400
# Vrad  (km/s)     = 54260.0
# Vtemplate (km/s) = 29617.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2016-12-29T19-58-11_ext.iod        2457752.3322532000  2457752.3380378750      68511.70      54372.91     76.49      2.43   41475.4
s1_2016-12-29T19-58-46_ext.iod        2457752.3326544999  2457752.3384391558      68511.77      54372.12     81.28      2.58   42470.8
s1_2016-12-29T22-28-41_ext.iod        2457752.4367680000  2457752.4425477004      68772.08      54361.37     73.96      2.28   50424.2
s1_2016-12-29T22-29-16_ext.iod        2457752.4371667998  2457752.4429464811      68771.56      54359.70     78.11      2.23   61945.8
s1_2016-12-29T22-29-51_ext.iod        2457752.4375785999  2457752.4433582611      68773.36      54360.29     77.23      2.35   59792.6
s1_2016-12-30T03-53-56_ext.iod        2457752.6626300998  2457752.6683987128      69286.07      54330.67    118.18      4.69    3846.5
s1_2016-12-30T03-54-30_ext.iod        2457752.6630302002  2457752.6687987931      69299.25      54343.36    105.50      4.19    5802.3
s1_2016-12-30T03-55-05_ext.iod        2457752.6634339001  2457752.6692024730      69297.03      54340.64    124.32      5.06    3530.4
s1_2016-12-30T19-47-04_ext.iod        2457753.3245350998  2457753.3302712482      68925.30      54334.97    125.37      4.99    2787.1
s1_2016-12-30T19-47-38_ext.iod        2457753.3249300001  2457753.3306661290      68927.88      54336.73    110.32      4.40    4129.5
s1_2016-12-30T19-48-13_ext.iod        2457753.3253321000  2457753.3310682094      68922.01      54330.02    113.29      4.74    3692.8
s1_2016-12-30T22-28-38_ext.iod        2457753.4367344999  2457753.4424651358      69224.44      54344.36     82.29      2.72   52822.6
s1_2016-12-30T22-29-13_ext.iod        2457753.4371305001  2457753.4428611165      69222.93      54341.69     83.22      2.75   62330.4
s1_2016-12-30T22-29-47_ext.iod        2457753.4375288999  2457753.4432594967      69224.34      54341.95     86.13      2.76   61113.1
s1_2016-12-31T03-54-04_ext.iod        2457753.6627286002  2457753.6684477897      69780.73      54361.48     86.29      3.03   17864.8
s1_2016-12-31T03-54-39_ext.iod        2457753.6631279001  2457753.6688470691      69782.03      54362.31     91.76      3.10   19525.1
s1_2016-12-31T03-55-13_ext.iod        2457753.6635288000  2457753.6692479486      69781.45      54361.26     88.43      3.17   15403.9
s1_2017-01-03T22-30-02_ext.iod        2457757.4376999000  2457757.4432306178      71028.64      54320.46     75.73      2.22   32787.4
s1_2017-01-03T22-30-36_ext.iod        2457757.4380946001  2457757.4436252960      71027.15      54317.82     73.62      2.28   34869.5
s1_2017-01-03T22-31-10_ext.iod        2457757.4384893002  2457757.4440199742      71028.19      54317.72     76.76      2.41   29537.1
s1_2017-01-04T03-54-20_ext.iod        2457757.6629070998  2457757.6684250459      71539.67      54319.72    108.01      4.16    4427.8
s1_2017-01-04T03-54-54_ext.iod        2457757.6633013999  2457757.6688193236      71545.49      54325.14    120.12      5.06    3216.4
s1_2017-01-04T03-55-28_ext.iod        2457757.6636974001  2457757.6692153011      71526.27      54305.53    153.96      6.28    2240.6
s1_2017-01-04T19-33-48_ext.iod        2457758.3153154999  2457758.3207965880      71187.39      54356.85     75.96      2.44   21672.6
s1_2017-01-04T19-34-22_ext.iod        2457758.3157096999  2457758.3211907661      71188.96      54357.59     75.11      2.39   22164.3
s1_2017-01-04T19-34-56_ext.iod        2457758.3161077001  2457758.3215887439      71188.89      54356.68     75.79      2.40   21646.5
s1_2017-01-04T22-04-43_ext.iod        2457758.4201201000  2457758.4255952598      71462.75      54363.30     82.37      2.72   10936.6
s1_2017-01-04T22-05-17_ext.iod        2457758.4205152001  2457758.4259903370      71461.91      54361.33     78.69      2.55   18037.2
s1_2017-01-04T22-05-52_ext.iod        2457758.4209174998  2457758.4263926139      71466.04      54364.31     75.92      2.36   20475.7
s1_2017-01-05T03-54-31_ext.iod        2457758.6630413001  2457758.6685023457      72026.97      54371.40     92.42      3.70   12636.3
s1_2017-01-05T03-55-06_ext.iod        2457758.6634410000  2457758.6689020218      72030.88      54374.94     89.46      3.45   12478.1
s1_2017-01-05T03-55-40_ext.iod        2457758.6638342999  2457758.6692952989      72029.92      54373.61     84.59      3.17   11723.8
s1_2017-01-05T22-27-18_ext.iod        2457759.4358059000  2457759.4412221620      71986.55      54405.68     77.09      2.46   32713.7
s1_2017-01-05T22-27-52_ext.iod        2457759.4362018998  2457759.4416181385      71986.25      54404.24     72.81      2.25   38166.7
s1_2017-01-05T22-28-27_ext.iod        2457759.4366016001  2457759.4420178155      71991.21      54408.04     75.63      2.45   35224.3
s1_2017-01-06T03-57-10_ext.iod        2457759.6648824001  2457759.6702850042      72497.31      54410.78     99.43      3.80    6866.9
s1_2017-01-06T03-57-45_ext.iod        2457759.6652827002  2457759.6706852801      72500.95      54414.08     98.95      3.88    6269.5
s1_2017-01-06T03-58-19_ext.iod        2457759.6656779000  2457759.6710804561      72504.39      54417.18    111.93      4.46    4283.6
s1_2017-01-07T20-24-12_ext.iod        2457761.3503232002  2457761.3556244364      72620.46      54421.63    107.71      4.10    4976.4
s1_2017-01-07T20-24-47_ext.iod        2457761.3507241998  2457761.3560254117      72623.85      54424.01    111.31      4.33    5810.8
s1_2017-01-07T20-25-21_ext.iod        2457761.3511200999  2457761.3564212876      72625.99      54425.16     96.39      3.66    7732.3
s1_2017-01-07T21-02-38_ext.iod        2457761.3770094998  2457761.3823091132      72689.16      54420.56     79.44      2.45   23370.7
s1_2017-01-07T21-03-12_ext.iod        2457761.3774060998  2457761.3827056889      72691.27      54421.59     82.56      2.63   25723.9
s1_2017-01-07T21-03-47_ext.iod        2457761.3778038002  2457761.3831033651      72692.54      54421.79     85.20      2.76   21356.9
s1_2017-01-10T20-00-02_ext.iod        2457764.3335338002  2457764.3386457996      73716.01      54325.28     79.07      2.54   32440.7
s1_2017-01-10T20-00-36_ext.iod        2457764.3339334000  2457764.3390453737      73716.45      54324.75     81.60      2.64   29600.3
s1_2017-01-10T20-01-11_ext.iod        2457764.3343353998  2457764.3394473474      73715.77      54323.09     76.42      2.48   23005.7
s1_2017-01-10T22-26-25_ext.iod        2457764.4351897999  2457764.4402951784      73991.22      54323.26     80.87      2.53   36204.8
s1_2017-01-10T22-26-59_ext.iod        2457764.4355877000  2457764.4406930525      73993.60      54324.50     78.31      2.39   36710.3
s1_2017-01-10T22-27-34_ext.iod        2457764.4359881999  2457764.4410935263      73996.39      54326.13     79.73      2.48   36427.9
s1_2017-01-11T03-23-25_ext.iod        2457764.6414460000  2457764.6465376690      74433.49      54313.22    146.24      5.81    2354.4
s1_2017-01-11T03-24-00_ext.iod        2457764.6418478000  2457764.6469394420      74445.21      54324.54     95.09      3.45    6786.0
s1_2017-01-11T03-24-34_ext.iod        2457764.6422441001  2457764.6473357156      74443.47      54322.42    104.92      3.77    7509.5
s1_2017-01-11T19-48-02_ext.iod        2457765.3252027999  2457765.3302492592      74106.96      54337.04     81.50      2.72   31811.0
s1_2017-01-11T19-48-36_ext.iod        2457765.3255985002  2457765.3306449335      74106.75      54335.89     81.10      2.54   36509.6
s1_2017-01-11T19-49-11_ext.iod        2457765.3259979999  2457765.3310444066      74107.01      54335.20     82.35      2.67   38164.9
s1_2017-01-11T21-29-32_ext.iod        2457765.3956856998  2457765.4007274900      74291.39      54336.31     75.31      2.33   53763.7
s1_2017-01-11T21-30-07_ext.iod        2457765.3960886998  2457765.4011304635      74294.43      54338.22     79.71      2.49   56388.3
s1_2017-01-11T21-30-41_ext.iod        2457765.3964817999  2457765.4015235370      74294.27      54336.95     81.15      2.54   53919.1
s1_2017-01-12T02-28-59_ext.iod        2457765.6036418998  2457765.6086696545      74805.32      54338.00    100.49      3.80    6528.9
s1_2017-01-12T02-29-34_ext.iod        2457765.6040400998  2457765.6090678270      74809.45      54341.54     90.61      3.40    7024.9
s1_2017-01-12T02-30-08_ext.iod        2457765.6044363002  2457765.6094640004      74807.38      54338.88     92.11      3.19    8140.1
s1_2017-01-13T19-57-12_ext.iod        2457767.3315655999  2457767.3364755753      74921.00      54354.71     79.76      2.48   47579.4
s1_2017-01-13T19-57-46_ext.iod        2457767.3319645999  2457767.3368745483      74923.00      54355.73     78.11      2.46   48779.1
s1_2017-01-13T19-58-20_ext.iod        2457767.3323569000  2457767.3372668214      74922.21      54353.97     83.54      2.62   47914.7
s1_2017-01-14T01-02-40_ext.iod        2457767.5436944999  2457767.5485897199      75463.15      54331.57    144.90      5.95    2321.2
s1_2017-01-14T01-03-14_ext.iod        2457767.5440897001  2457767.5489848922      75477.04      54344.60     86.37      2.84   15517.0
s1_2017-01-14T20-13-49_ext.iod        2457768.3431127998  2457768.3479520297      75264.12      54286.79     78.24      2.46   35347.7
s1_2017-01-14T20-14-24_ext.iod        2457768.3435081001  2457768.3483473025      75264.38      54286.04     75.82      2.44   42860.2
s1_2017-01-14T20-14-59_ext.iod        2457768.3439151002  2457768.3487542742      75267.87      54288.49     78.36      2.49   43769.0
s1_2017-01-15T00-52-44_ext.iod        2457768.5368049000  2457768.5416304059      75778.36      54281.92     74.75      2.45   38355.3
s1_2017-01-15T00-53-19_ext.iod        2457768.5372003000  2457768.5420257775      75777.18      54279.87     78.59      2.61   44432.4
s1_2017-01-15T00-53-53_ext.iod        2457768.5376010002  2457768.5424264488      75778.95      54280.76     76.30      2.57   41789.4
s1_2017-01-15T19-53-09_ext.iod        2457769.3287550998  2457769.3335241540      75635.39      54318.11     85.01      3.05   29061.4
s1_2017-01-15T19-53-43_ext.iod        2457769.3291501999  2457769.3339192262      75633.80      54315.55     91.07      3.12   30457.3
s1_2017-01-15T19-54-17_ext.iod        2457769.3295467002  2457769.3343156986      75636.48      54317.25     87.88      3.02   30127.7
s1_2017-01-16T00-43-15_ext.iod        2457769.5302090002  2457769.5349635468      76193.15      54337.26     82.45      2.64   26480.8
s1_2017-01-16T00-43-49_ext.iod        2457769.5306044999  2457769.5353590180      76193.45      54336.68     80.41      2.64   25877.5
s1_2017-01-16T00-44-23_ext.iod        2457769.5310057001  2457769.5357601889      76193.29      54335.62     78.37      2.56   22725.1
s1_2017-01-16T19-55-33_ext.iod        2457770.3304180000  2457770.3351145303      76093.02      54401.64     80.08      2.75   35711.7
s1_2017-01-16T19-56-09_ext.iod        2457770.3308397001  2457770.3355361996      76095.06      54402.63     80.58      2.50   35155.0
s1_2017-01-16T19-56-44_ext.iod        2457770.3312459001  2457770.3359423704      76095.49      54402.04     74.44      2.34   35984.0
s1_2017-01-17T00-53-34_ext.iod        2457770.5373825999  2457770.5420639622      76653.38      54413.93     76.62      2.45   41025.2
s1_2017-01-17T00-54-09_ext.iod        2457770.5377822001  2457770.5424635331      76656.47      54416.16     75.56      2.33   35413.1
s1_2017-01-17T00-54-43_ext.iod        2457770.5381748001  2457770.5428561037      76655.57      54414.42     82.15      2.60   36037.4
s1_2017-01-20T00-45-51_ext.iod        2457773.5320158000  2457773.5364724845      77616.82      54324.38     74.65      2.40   37231.9
s1_2017-01-20T00-46-25_ext.iod        2457773.5324102002  2457773.5368668544      77618.96      54325.70     76.47      2.54   46986.2
s1_2017-01-20T00-47-00_ext.iod        2457773.5328151998  2457773.5372718223      77618.94      54324.84     75.44      2.49   42613.2
s1_2017-01-24T00-45-24_ext.iod        2457777.5317107998  2457777.5358516583      79033.64      54421.39     79.68      2.77   22384.8
s1_2017-01-24T00-45-58_ext.iod        2457777.5321062999  2457777.5362471258      79032.36      54419.35     75.03      2.55   26371.0
s1_2017-01-24T00-46-33_ext.iod        2457777.5325055001  2457777.5366462935      79034.53      54420.75     76.57      2.53   28698.3
s1_2017-01-24T20-17-35_ext.iod        2457778.3457221002  2457778.3497966663      78865.50      54415.15     78.89      2.72   35035.1
s1_2017-01-24T20-18-09_ext.iod        2457778.3461179999  2457778.3501925338      78868.93      54417.53     82.97      2.84   42525.7
s1_2017-01-24T20-18-43_ext.iod        2457778.3465133002  2457778.3505878015      78867.99      54415.53     82.62      2.77   39107.6
s1_2017-01-25T00-44-38_ext.iod        2457778.5311691002  2457778.5352283893      79317.64      54395.31     82.31      2.82   46547.2
s1_2017-01-25T00-45-12_ext.iod        2457778.5315649002  2457778.5356241562      79319.99      54396.91     84.32      2.81   46239.4
s1_2017-01-25T00-45-46_ext.iod        2457778.5319665000  2457778.5360257230      79319.81      54395.96     84.07      2.93   42434.4
s1_2017-01-25T19-10-19_ext.iod        2457779.2990049999  2457779.3030009796      78929.45      54291.17     99.17      3.95    7068.1
s1_2017-01-25T19-10-53_ext.iod        2457779.2994059999  2457779.3034019466      78922.62      54283.38     89.99      3.47    9154.1
s1_2017-01-25T19-11-28_ext.iod        2457779.2998036002  2457779.3037995142      78919.40      54279.21    101.52      3.72    8287.7
s1_2017-01-27T19-12-00_ext.iod        2457781.3001791001  2457781.3040072662      79597.88      54368.27     90.41      3.26   28722.9
s1_2017-01-27T19-12-34_ext.iod        2457781.3005738002  2457781.3044019332      79597.69      54367.12     82.05      3.04   30491.1
s1_2017-01-27T19-13-09_ext.iod        2457781.3009784999  2457781.3048065989      79602.25      54370.71     81.64      3.05   31022.8
s1_2017-01-29T19-14-00_ext.iod        2457783.3015661999  2457783.3052227939      80176.61      54388.70     83.24      2.94   26885.5
s1_2017-01-29T19-14-34_ext.iod        2457783.3019653000  2457783.3056218596      80175.63      54386.74     83.20      3.02   28915.2
s1_2017-01-29T19-15-09_ext.iod        2457783.3023647000  2457783.3060212256      80176.77      54386.90     84.71      3.02   31698.2
s1_2017-01-30T19-15-21_ext.iod        2457784.3025091998  2457784.3060786552      80381.74      54327.08     89.90      3.20   19032.7
s1_2017-01-30T19-15-56_ext.iod        2457784.3029140998  2457784.3064835197      80382.66      54327.00     81.70      2.68   24216.9
s1_2017-01-30T19-16-32_ext.iod        2457784.3033308000  2457784.3069001837      80386.67      54329.98     91.20      3.09   22397.1
