# STAR             = Aldebaran
# RA(ICRS, deg)    = 68.980163
# Dec(ICRS, deg)   = 16.509302
# pmRA  (mas/yr)   = 63.4500
# pmDec (mas/yr)   = -188.940
# parallax (mas)   = 48.9400
# Vrad  (km/s)     = 54260.0
# Vtemplate (km/s) = 29617.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2016-10-04T00-35-47_ext.iod        2457665.5250236001  2457665.5288177072      29069.40      54536.20     63.11      1.76   23373.3
s1_2016-10-04T00-36-21_ext.iod        2457665.5254191998  2457665.5292133405      29071.37      54537.63     66.55      1.80   25983.5
s1_2016-10-04T02-35-22_ext.iod        2457665.6080752001  2457665.6118763406      29219.27      54529.44     61.71      1.62   26215.1
s1_2016-10-04T02-35-56_ext.iod        2457665.6084718001  2457665.6122729741      29218.51      54527.75     63.57      1.45   30691.6
s1_2016-10-04T02-36-32_ext.iod        2457665.6088788002  2457665.6126800082      29219.36      54527.65     67.14      1.72   31957.7
s1_2016-10-05T00-35-32_ext.iod        2457666.5248551001  2457666.5287324986      29277.97      54471.61     67.19      2.18   12328.4
s1_2016-10-05T00-36-06_ext.iod        2457666.5252512000  2457666.5291286316      29279.25      54472.33     61.88      1.74   20714.0
s1_2016-10-05T00-36-40_ext.iod        2457666.5256392001  2457666.5295166643      29278.15      54470.68     60.53      1.64   25481.2
s1_2016-10-05T02-09-24_ext.iod        2457666.5900389999  2457666.5939218630      29393.28      54467.93     60.07      1.58   24318.5
s1_2016-10-05T02-09-58_ext.iod        2457666.5904317000  2457666.5943145957      29394.33      54468.12     58.21      1.61   21415.8
s1_2016-10-05T02-10-31_ext.iod        2457666.5908204000  2457666.5947033283      29394.86      54467.79     57.21      1.54   26329.4
s1_2016-10-06T00-36-24_ext.iod        2457667.5254529999  2457667.5294128391      29528.05      54439.62     68.71      2.01   18636.7
s1_2016-10-06T00-36-58_ext.iod        2457667.5258475002  2457667.5298073725      29527.64      54438.63     67.80      1.95   19549.3
s1_2016-10-06T00-37-31_ext.iod        2457667.5262365998  2457667.5301965042      29527.66      54438.07     60.53      1.72   18835.3
s1_2016-10-06T02-08-25_ext.iod        2457667.5893593999  2457667.5933245365      29645.25      54437.59     58.62      1.54   27922.7
s1_2016-10-06T02-08-59_ext.iod        2457667.5897539002  2457667.5937190694      29645.71      54437.17     59.38      1.59   28668.2
s1_2016-10-06T02-09-33_ext.iod        2457667.5901433001  2457667.5941085014      29647.55      54438.14     60.15      1.62   26869.2
s1_2016-10-07T00-36-29_ext.iod        2457668.5255160001  2457668.5295572951      29781.74      54404.32     64.09      1.87   16770.6
s1_2016-10-07T00-37-05_ext.iod        2457668.5259293001  2457668.5299706291      29783.94      54405.89     57.55      1.59   18902.7
s1_2016-10-07T00-37-43_ext.iod        2457668.5263748001  2457668.5304161655      29784.25      54405.53     61.33      1.68   17821.8
s1_2016-10-07T02-10-01_ext.iod        2457668.5904685999  2457668.5945152156      29904.85      54403.26     56.78      1.47   41899.7
s1_2016-10-07T02-10-41_ext.iod        2457668.5909314002  2457668.5949780536      29908.97      54406.33     60.74      1.65   35001.0
s1_2016-10-07T02-11-19_ext.iod        2457668.5913737002  2457668.5954203899      29909.48      54405.83     61.49      1.48   32159.9
s1_2016-10-08T06-02-24_ext.iod        2457669.7518480001  2457669.7559879469      30699.61      54471.20     67.76      1.88   36536.2
s1_2016-10-08T06-02-58_ext.iod        2457669.7522362000  2457669.7563761775      30699.79      54470.38     65.15      1.77   43523.4
s1_2016-10-08T06-03-32_ext.iod        2457669.7526321998  2457669.7567722085      30702.49      54472.06     67.07      1.87   39717.2
s1_2016-10-09T06-04-34_ext.iod        2457670.7533522998  2457670.7575716283      31108.72      54568.41     71.99      2.09   33170.3
s1_2016-10-09T06-05-08_ext.iod        2457670.7537460001  2457670.7579653594      31110.19      54568.86     68.06      2.13   43216.7
s1_2016-10-09T06-05-42_ext.iod        2457670.7541390001  2457670.7583583901      31113.92      54571.58     69.40      2.09   41086.3
s1_2016-10-10T06-22-37_ext.iod        2457671.7658862001  2457671.7701847395      31426.25      54539.42     91.61      3.25   31661.5
s1_2016-10-10T06-23-11_ext.iod        2457671.7662801002  2457671.7705786698      31429.83      54542.02     67.95      2.12   46572.6
s1_2016-10-10T06-23-45_ext.iod        2457671.7666749000  2457671.7709735003      31432.49      54543.71     69.04      2.06   44717.0
s1_2016-10-11T06-22-45_ext.iod        2457672.7659784998  2457672.7703542355      31623.25      54414.66     73.06      2.23   36038.2
s1_2016-10-11T06-23-19_ext.iod        2457672.7663683998  2457672.7707441654      31623.02      54413.47     77.60      2.38   39972.3
s1_2016-10-11T06-23-53_ext.iod        2457672.7667693002  2457672.7711450960      31622.14      54411.61     75.16      2.35   40159.2
s1_2016-10-14T06-21-52_ext.iod        2457675.7653629002  2457675.7699636901      32754.79      54544.92     76.31      2.48   29732.2
s1_2016-10-14T06-22-25_ext.iod        2457675.7657523002  2457675.7703531184      32755.68      54544.86     74.76      2.45   31365.7
s1_2016-10-14T06-22-59_ext.iod        2457675.7661412000  2457675.7707420462      32757.99      54546.23     73.36      2.36   28168.0
s1_2016-10-20T06-20-50_ext.iod        2457681.7646422000  2457681.7696621800      34847.59      54470.22     79.48      2.75   31949.6
